Rreplacement_period,E-waste_volume,e-waste_type,Disposal_reason,Disposal_method,E-waste_disposal_rules,Recycle_done,Recycle_feedback,Risk_awareness,Risk_associated,Healthrisk_awareness,Risk_Level
every 1 year,Less than 1 kg,Laptops/Computers,Physical damage,Donate to others,No,No,Dissatisfied,No,Water pollution,No,Moderate
more than 3 years,Less than 1 kg,Laptops/Computers,Poor performance,Store at home,Yes,No,Neutral,No,Air pollution,No,Low
every 6 months,1 - 5 kg,Batteries,Physical damage,Return to manufacturers/recyclers,Yes,No,Neutral,No,Wildlife damage,Yes,Moderate
every 1 year,1 - 5 kg,Laptops/Computers,Device malfunction,Throw in regular trash,No,Yes,Neutral,No,Wildlife damage,Yes,Moderate
every 2-3 years,11 - 20 kg,Mobile phones,Device malfunction,Donate to others,No,Yes,Very Satisfied,No,Wildlife damage,Yes,Moderate
more than 3 years,11 - 20 kg,Mobile phones,Physical damage,Donate to others,No,Yes,Neutral,No,Soil contamination,Yes,Moderate
every 1 year,11 - 20 kg,Mobile phones,Device malfunction,Donate to others,No,Yes,Very Satisfied,No,Soil contamination,Yes,Moderate
more than 3 years,1 - 5 kg,Batteries,Device malfunction,Return to manufacturers/recyclers,No,No,Dissatisfied,No,Water pollution,No,Low
every 1 year,1 - 5 kg,TVs/Monitors,Upgrading to a newer model,Return to manufacturers/recyclers,No,No,Satisfied,No,Wildlife damage,Yes,Moderate
every 2-3 years,6 - 10 kg,Laptops/Computers,Device malfunction,Store at home,No,No,Dissatisfied,No,Air pollution,No,Moderate
